Year,County,1_br,2_br,3_br,4_br,Est. Population
2018,Anderson,625,733,987,1291,58458
2018,Andrews,771,1026,1286,1605,14786
2018,Angelina,697,801,1070,1091,86771
2018,Aransas,745,856,1236,1350,23158
2018,Archer,625,807,1124,1421,9054
2018,Armstrong,616,806,1070,1231,1901
2018,Atascosa,614,816,1046,1186,44911
2018,Austin,758,976,1224,1719,28417
2018,Bailey,553,697,1014,1090,7165
2018,Bandera,801,1001,1321,1604,20485
2018,Bastrop,1023,1251,1679,2018,74171
2018,Baylor,524,697,962,1090,3726
2018,Bee,613,815,1185,1304,31861
2018,Bell,580,771,1098,1358,310235
2018,Bexar,801,1001,1321,1604,1714773
2018,Blanco,638,848,1164,1486,10497
2018,Borden,584,736,976,1151,641
2018,Bosque,529,703,881,957,18212
2018,Bowie,627,795,1022,1178,92565
2018,Brazoria,953,1117,1480,1967,313166
2018,Brazos,756,908,1321,1599,194851
2018,Brewster,591,786,1067,1110,9232
2018,Briscoe,553,697,880,1090,1637
2018,Brooks,553,697,874,1090,7223
2018,Brown,595,705,1008,1116,38106
2018,Burleson,756,908,1321,1599,17187
2018,Burnet,713,819,1191,1442,42750
2018,Caldwell,1023,1251,1679,2018,38066
2018,Calhoun,708,848,1063,1481,21381
2018,Callahan,605,805,1018,1324,13544
2018,Cameron,545,697,934,1081,406220
2018,Camp,607,697,1012,1090,12401
2018,Carson,616,806,1070,1231,6182
2018,Cass,524,697,978,1220,30464
2018,Castro,609,754,945,1179,8062
2018,Chambers,871,1066,1456,1844,35096
2018,Cherokee,559,743,950,1049,50845
2018,Childress,627,720,1047,1126,7041
2018,Clay,625,807,1124,1421,10752
2018,Cochran,525,697,978,1090,3127
2018,Coke,553,697,874,1090,3320
2018,Coleman,524,697,946,1027,8895
2018,Collin,878,1077,1447,1856,782341
2018,Collingsworth,553,697,874,1090,3057
2018,Colorado,546,697,1014,1228,20874
2018,Comal,801,1001,1321,1604,108472
2018,Comanche,573,697,1009,1090,13974
2018,Concho,818,1036,1367,1642,4087
2018,Cooke,618,809,1058,1102,38437
